2018-03-21 11:27:05,829 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:27:05,832 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:27:05,839 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-26 10:28:38,474 [Worker-334] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-26 10:28:38,495 [Worker-334] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-26 10:28:38,498 [Worker-334] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-26 10:28:38,505 [Worker-334] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-26 11:49:37,372 [Worker-357] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: PhantomjsTest:PhabtomjsTest:0.0.1-SNAPSHOT @ C:\Users\anna.zhuravleva\Documents\Alrquitectura\mavenSeleniumPhantomjs\PhabtomjsTest\pom.xml.
2018-03-26 11:49:38,641 [Worker-357] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-26 11:49:38,654 [Worker-357] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-26 11:49:38,659 [Worker-357] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-26 11:49:38,666 [Worker-357] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-26 12:05:30,988 [Worker-369] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: PhantomjsTest:PhabtomjsTest:0.0.1-SNAPSHOT @ C:\Users\anna.zhuravleva\Documents\Alrquitectura\mavenSeleniumPhantomjs\PhabtomjsTest\pom.xml.
2018-03-26 12:05:58,564 [Worker-369] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://jitpack.io/com/github/detro/ghostdriver/2.1.0/ghostdriver-2.1.0.pom
2018-03-26 12:05:58,715 [Worker-369] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://jitpack.io/org/seleniumhq/selenium/selenium-remote-driver/3.1.0/selenium-remote-driver-3.1.0.pom
2018-03-26 12:06:25,688 [Worker-369] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/seleniumhq/selenium/selenium-remote-driver/3.1.0/selenium-remote-driver-3.1.0.pom
